Frecuencia (Hz)	Nivel (dB)
43,066406	-88,581055
86,132812	-84,729622
129,199219	-83,488983
172,265625	-82,799576
215,332031	-82,497131
258,398438	-83,492012
301,464844	-85,807983
344,53125	-85,706871
387,597656	-84,665871
430,664062	-84,617821
473,730469	-81,279877
516,796875	-77,054535
559,863281	-69,901161
602,929688	-57,121235
645,996094	-28,563251
689,0625	-23,662552
732,128906	-30,743452
775,195312	-60,602589
818,261719	-71,642258
861,328125	-79,37632
904,394531	-83,60154
947,460938	-86,17466
990,527344	-88,817276
1033,59375	-89,633339
1076,660156	-89,36039
1119,726562	-89,035225
1162,792969	-86,10907
1205,859375	-82,83139
1248,925781	-73,67421
1291,992188	-61,8563
1335,058594	-42,740986
1378,125	-39,323193
1421,191406	-47,65049
1464,257812	-65,551361
1507,324219	-70,996567
1550,390625	-76,593849
1593,457031	-82,212357
1636,523438	-84,05304
1679,589844	-84,550499
1722,65625	-83,468475
1765,722656	-82,393806
1808,789062	-79,802109
1851,855469	-77,089211
1894,921875	-73,846863
1937,988281	-69,401901
1981,054688	-58,656872
2024,121094	-40,714302
2067,1875	-37,895695
2110,253906	-46,620235
2153,320312	-65,482857
2196,386719	-70,155121
2239,453125	-67,622337
2282,519531	-68,237289
2325,585938	-75,73925
2368,652344	-81,163086
2411,71875	-84,941902
2454,785156	-89,78672
2497,851562	-90,304451
2540,917969	-91,565529
2583,984375	-89,696114
2627,050781	-87,304977
2670,117188	-78,730713
2713,183594	-65,137512
2756,25		-63,761761
2799,316406	-71,522972
2842,382812	-73,588242
2885,449219	-77,837906
2928,515625	-86,441269
2971,582031	-88,4132
3014,648438	-91,273323
3057,714844	-89,318817
3100,78125	-87,791824
3143,847656	-86,015892
3186,914062	-83,032944
3229,980469	-81,365059
3273,046875	-80,248344
3316,113281	-73,570908
3359,179688	-60,965267
3402,246094	-47,91074
3445,3125	-46,556355
3488,378906	-55,142906
3531,445312	-72,671127
3574,511719	-80,123192
3617,578125	-83,187592
3660,644531	-84,127037
3703,710938	-87,275169
3746,777344	-87,501762
3789,84375	-88,672462
3832,910156	-89,311249
3875,976562	-88,26548
3919,042969	-85,915031
3962,109375	-83,937378
4005,175781	-85,329117
4048,242188	-85,134232
4091,308594	-76,585953
4134,375	-76,425842
4177,441406	-85,086197
4220,507812	-92,515549
4263,574219	-93,662407
4306,640625	-95,895782
4349,707031	-94,926331
4392,773438	-94,745522
4435,839844	-94,903297
4478,90625	-93,70015
4521,972656	-89,778648
4565,039062	-88,730583
4608,105469	-91,422363
4651,171875	-90,731499
4694,238281	-88,995964
4737,304688	-83,811646
4780,371094	-73,436981
4823,4375	-71,987915
4866,503906	-79,701843
4909,570312	-87,906578
4952,636719	-90,148956
4995,703125	-92,721832
5038,769531	-91,966431
5081,835938	-92,37587
5124,902344	-94,586563
5167,96875	-96,050514
5211,035156	-96,222214
5254,101562	-96,368065
5297,167969	-96,451363
5340,234375	-97,149223
5383,300781	-97,050919
5426,367188	-92,900299
5469,433594	-86,390808
5512,5		-84,180611
5555,566406	-88,140854
5598,632812	-96,146194
5641,699219	-97,892502
5684,765625	-97,890823
5727,832031	-98,647202
5770,898438	-100,026932
5813,964844	-100,133842
5857,03125	-100,174049
5900,097656	-99,978622
5943,164062	-100,32206
5986,230469	-100,062027
6029,296875	-99,888168
6072,363281	-98,618004
6115,429688	-89,287163
6158,496094	-82,711105
6201,5625	-81,78553
6244,628906	-86,192093
6287,695312	-96,909424
6330,761719	-99,476234
6373,828125	-99,826797
6416,894531	-99,790764
6459,960938	-100,039017
6503,027344	-100,789223
6546,09375	-101,363396
6589,160156	-101,679825
6632,226562	-101,296349
6675,292969	-101,539154
6718,359375	-99,658089
6761,425781	-96,849495
6804,492188	-92,329575
6847,558594	-89,589058
6890,625	-91,386795
6933,691406	-97,035721
6976,757812	-100,939293
7019,824219	-102,090599
7062,890625	-102,484329
7105,957031	-102,685364
7149,023438	-103,134972
7192,089844	-102,980347
7235,15625	-103,574371
7278,222656	-103,178375
7321,289062	-102,223671
7364,355469	-102,635094
7407,421875	-103,231026
7450,488281	-103,225677
7493,554688	-101,306007
7536,621094	-99,325241
7579,6875	-101,197731
7622,753906	-103,008018
7665,820312	-104,421997
7708,886719	-104,281281
7751,953125	-104,03331
7795,019531	-104,546997
7838,085938	-105,273041
7881,152344	-105,582771
7924,21875	-105,585587
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
