,fft
0,-0.6010289013539114
1,-1.0796393396407025
2,-1.3858343994704727
3,-1.6809322560977715
4,-2.0592345127306335
5,-2.7867898028556146
6,-2.616309780364141
7,-2.391979112484509
8,-2.3621035275802402
9,-2.410956924468354
10,-2.5055617066324403
11,-2.62076103530714
12,-2.715142355773127
13,-2.746495978994673
14,-2.7295316966705525
15,-2.7073460700004213
16,-2.7014593313065896
17,-2.7167046128493273
18,-2.749492982336353
19,-2.790566696859702
20,-2.825111326948727
21,-2.841813800843732
22,-2.8413628071775827
23,-2.833310214234721
24,-2.827706169999143
25,-2.8307214936094285
26,-2.844236176754349
27,-2.8648444204963908
28,-2.88529945101702
29,-2.897587954735025
30,-2.898816561587336
31,-2.892678279252313
32,-2.8857688167417517
33,-2.883844256022041
34,-2.88959820725102
35,-2.9021601562475783
36,-2.916955662238538
37,-2.9275954566957862
38,-2.929221312840223
39,-2.922768200960256
40,-2.91422396060074
41,-2.90941833058185
42,-2.911663772863107
43,-2.9207699895223898
44,-2.933667765285077
45,-2.9439922106790686
46,-2.945468526744953
47,-2.937779381859629
48,-2.9266823566365723
49,-2.9196910301953434
50,-2.9206815286420698
51,-2.9297262914036053
52,-2.9430407222201205
53,-2.9533086781239968
54,-2.9531183872382325
55,-2.9421714910887546
56,-2.9283802515896236
57,-2.920713361432245
58,-2.923354110507721
59,-2.9348946495239856
60,-2.9487712325863127
61,-2.9566725819813873
62,-2.952392744488953
63,-2.938374996840126
64,-2.924051227629852
65,-2.918113847918987
66,-2.9235904847796688
67,-2.937046872076046
68,-2.949992740299588
69,-2.9538442399800675
70,-2.9455390084927813
71,-2.930223108234469
72,-2.917164674997213
73,-2.913555298480375
74,-2.921233381401087
75,-2.9356405433944173
76,-2.9468608259300058
77,-2.9465823553516923
78,-2.9348923513031164
79,-2.919457095639002
80,-2.9083525089706184
81,-2.9070107696907135
82,-2.916254823203024
83,-2.9310157507569246
84,-2.9402444678820343
85,-2.9360497278839417
86,-2.921622502503209
