,fft
0,-0.5745807250028712
1,-1.0365992755261961
2,-1.3197907767279031
3,-1.5862549047462098
4,-1.9182253904687654
5,-2.448236735997282
6,-2.7466850388306474
7,-2.4009365454981486
8,-2.331936548760391
9,-2.358695247796283
10,-2.4421558434807227
11,-2.5666185987683345
12,-2.705640099301112
13,-2.7823827120056843
14,-2.7511991021970896
15,-2.691602879816792
16,-2.655804779830154
17,-2.651758956969177
18,-2.6754063373903096
19,-2.7181364188205985
20,-2.765822697738247
21,-2.79788188564602
22,-2.799849762652292
23,-2.779500912098707
24,-2.756035407154043
25,-2.7434305607035303
26,-2.747123815575828
27,-2.7659053837693164
28,-2.792570540880086
29,-2.8153334845276956
30,-2.8232425675201425
31,-2.8138007271211185
32,-2.795548754214555
33,-2.780576622379288
34,-2.7767318432174446
35,-2.785915701259513
36,-2.8042594150335387
37,-2.8236855545373953
38,-2.833509841373957
39,-2.8283082791222856
40,-2.812688871429506
41,-2.7970017374600302
42,-2.7895536196112456
43,-2.7939456545226307
44,-2.808873711483657
45,-2.826745758757135
46,-2.8371870159881607
47,-2.8336555991236856
48,-2.819245539587586
49,-2.8030915615246226
50,-2.793984763618725
51,-2.79664860368875
52,-2.8097146457619684
53,-2.8264146227735867
54,-2.8366429218381097
55,-2.833598707766372
56,-2.819436172043716
57,-2.8037151756842156
58,-2.794682183515117
59,-2.79627817720561
60,-2.8076262701843233
61,-2.8229732699858707
62,-2.832714018746126
63,-2.8298918052511435
64,-2.8168000717720365
65,-2.801839401826469
66,-2.79250883886372
67,-2.792821126350314
68,-2.8026006953833793
69,-2.8169415586372963
70,-2.8267271713213113
71,-2.8247844158204365
72,-2.81240619713656
73,-2.797442084347783
74,-2.787461456940572
75,-2.7866500771435883
76,-2.795245353144982
77,-2.809184537589927
78,-2.8196924739875886
79,-2.8185423559117515
80,-2.8061931466050662
81,-2.7906338155112933
82,-2.7798603811732066
83,-2.778010042322175
84,-2.7860788908965977
85,-2.800266050123875
86,-2.811740166207184
87,-2.811165599861301
88,-2.798225018226597
89,-2.7815054786132545
90,-2.769643218706802
91,-2.7673594564714015
92,-2.775338439171016
93,-2.79034350732699
94,-2.8030434224450347
95,-2.802700906577697
96,-2.788421279998408
97,-2.7697371652947895
98,-2.7569277801447294
99,-2.7546660671996697
100,-2.763518208744245
101,-2.779764104809476
102,-2.7936520905684823
103,-2.792887715532771
104,-2.7760854758848623
105,-2.755103194096382
106,-2.741816188085741
107,-2.740650681546753
108,-2.7510032274832934
109,-2.7686238776596697
110,-2.7830404559230506
111,-2.780718394422632
112,-2.7608482577859723
113,-2.7380272105725383
114,-2.7251547994214773
115,-2.72565520545234
116,-2.7376028029040613
117,-2.756070631053977
118,-2.7702666778910787
119,-2.766119817710136
120,-2.7435234027436852
121,-2.7191192788750094
122,-2.7067148884261854
123,-2.70907916858546
124,-2.7225427635544523
125,-2.7417034954782853
126,-2.755680945167796
127,-2.7496899149212823
128,-2.724025164240124
129,-2.6977630908181034
130,-2.686098316588645
131,-2.690489622471724
132,-2.705701231450227
133,-2.7257223927058756
134,-2.739544882773859
135,-2.7312122871583875
136,-2.701756523716866
137,-2.67359485814574
138,-2.6628555186103724
139,-2.669805512777218
140,-2.687112713501039
141,-2.708184343571718
142,-2.7217441317650364
143,-2.7101395597427596
144,-2.676311472409135
145,-2.6461500208633106
146,-2.6367297073803946
147,-2.6467122372240905
148,-2.6667635388516544
149,-2.6892372002972524
150,-2.701935588009943
151,-2.6860757401054864
152,-2.6470262465081547
153,-2.6147695515513916
154,-2.607125669175308
155,-2.6211714510309143
156,-2.644809489748979
157,-2.6687968586641433
158,-2.680065247957265
159,-2.6583495645206376
160,-2.612647800556542
161,-2.578259349218585
162,-2.5736683995441196
163,-2.5934097684250776
164,-2.6217755760042993
165,-2.64741783440539
166,-2.6553828106964987
167,-2.6244396859953816
168,-2.571265722020521
169,-2.536424730007018
170,-2.5370718545620607
171,-2.564320410611629
172,-2.598026260224303
173,-2.623807439186498
174,-2.624850173438658
175,-2.5825531274449127
176,-2.5230451452359297
177,-2.489693111428961
178,-2.497366115894672
179,-2.5336643682583206
180,-2.5723801034735225
181,-2.595779172131984
182,-2.587011136059675
183,-2.5322814746623923
184,-2.467402510377625
185,-2.4371192560003245
186,-2.4537087734046126
187,-2.5005191845503574
188,-2.5438560543404356
189,-2.5623953338192704
190,-2.5404953885958568
191,-2.4716978364715088
192,-2.4024399422016884
193,-2.3770621386698085
194,-2.404945621311342
195,-2.464503864977342
196,-2.512151052457219
197,-2.5222568139666834
198,-2.482193596756875
199,-2.397582927685517
200,-2.3253086445521185
201,-2.3072515527259188
202,-2.349673463808709
203,-2.425829350363081
204,-2.4774752527921855
205,-2.4727476562013
206,-2.406628370618233
207,-2.3043377853378884
208,-2.2313252065115354
209,-2.2240634789469054
210,-2.2867340542709464
211,-2.3874413364395495
212,-2.4420668292490086
213,-2.406282634495339
214,-2.300623293974655
215,-2.1819719608775294
216,-2.1141863527525993
217,-2.1247678940725563
218,-2.219501189942082
219,-2.3619395192625463
220,-2.399150488497333
221,-2.290797709838763
222,-2.1441395737121427
223,-2.024212676443752
224,-1.9727087973612443
225,-2.011314449846855
226,-2.1567990870739755
227,-2.3587730671098726
228,-2.2837534062096307
229,-2.092179487029582
230,-1.9345891084604785
231,-1.827940210351628
232,-1.7982017219517308
233,-1.8722834896570484
234,-2.098583871391318
235,-2.327830525373228
236,-2.01573617273786
237,-1.7994150825903752
238,-1.6490766675649338
239,-1.554767899852954
240,-1.5422791049583713
241,-1.6549820981858179
242,-2.0433757853206487
243,-1.9347033951689365
244,-1.52356353482812
245,-1.2967044537736492
246,-1.11514008528959
247,-0.9660901081388358
248,-0.8620034190020737
249,-0.8090984860158078
250,-0.027964271880544237
251,-0.8498268440964303
252,-0.9210710442086444
253,-0.9958866091455552
254,-1.0698897942194407
255,-1.178986584644901
256,-1.3840198052808708
257,-1.8344021228981706
258,-1.9465648486094738
259,-1.6044452555826145
260,-1.5117652583812369
261,-1.4944055126512836
262,-1.5156029917856388
263,-1.6034959230979156
264,-1.8260402435369008
265,-2.200444503166994
266,-1.902322183011204
267,-1.7260729840048843
268,-1.6768041273967578
269,-1.6806610014485377
270,-1.7233968965102127
271,-1.8444955434726065
272,-2.091258025500628
273,-2.084810842084487
274,-1.8635208141143786
275,-1.7739648309656122
276,-1.7687185555804437
277,-1.804941663958627
278,-1.881946151692911
279,-2.036320986285457
280,-2.148494830849878
281,-1.9710498398544238
282,-1.8402300910039164
283,-1.8102409917101934
284,-1.8460548809817638
285,-1.9174331647332727
286,-2.0271981595695747
287,-2.1467106410985366
288,-2.0553959596236386
289,-1.899908302044
290,-1.8340883894709332
291,-1.8522505382808614
292,-1.9269811196510889
293,-2.030922860090865
294,-2.1390114737336754
295,-2.1144661719685267
296,-1.9601247149464995
297,-1.8593109639340633
298,-1.8454327499815344
299,-1.9066175123538889
300,-2.0166171352097813
301,-2.1316841711636747
302,-2.1518746075452153
303,-2.0202801410335125
304,-1.893547378164847
305,-1.8439916682845332
306,-1.8755275898098611
307,-1.9750617899124987
