,fft
0,-0.0864528708457657
1,0.184293221160495
2,0.1916115054235702
3,0.15597634114286574
4,0.12516153408483285
5,0.11634871862928406
6,0.12698412596747854
7,0.1430694828644575
8,0.15269593434635792
9,0.15140502924580437
10,0.1416346705730022
11,0.13112851145211796
12,0.12858018236660115
13,0.13640816853174462
14,0.14799674104792906
15,0.1540147950169246
16,0.14984746359847442
17,0.1387601784048206
18,0.13087537220410408
19,0.13481604786687262
20,0.14771034939445915
21,0.1579553447425937
22,0.1569778258545809
23,0.14570373253962804
24,0.1347107444431456
25,0.1359451587735518
26,0.1492560225903093
27,0.16231099555177356
28,0.1641475801464966
29,0.15375159119538465
30,0.1407873337633245
31,0.13884242616667808
32,0.15111577623669362
33,0.16648402604660173
34,0.17228877717400864
35,0.1645157880128276
36,0.14972973072224724
37,0.14200821914766554
38,0.1510480298815564
39,0.1703995425945072
40,0.18404391798865766
41,0.1804626208083458
42,0.16022484141701726
43,0.140736729378861
44,0.14749345157909372
45,0.1788868899479069
46,0.20419687869645367
47,0.19978534272594425
48,0.1648063991556379
49,0.13153706853465064
50,0.14875115638505765
51,0.1993847012577929
52,0.2286470234361232
53,0.21227142804167629
54,0.1596127685489533
55,0.12624091862009612
56,0.1647260938495752
57,0.22313695696427643
58,0.24460554674861462
59,0.2170691206854092
60,0.16026056469311747
61,0.13507394439755155
62,0.17897010380191108
63,0.23633201741030163
64,0.2590092307280216
65,0.2340479953579925
66,0.17169049438748557
67,0.13099789113931115
68,0.18141690965542312
69,0.2595989569541738
70,0.29179862421021324
71,0.25548111981037025
72,0.15963956328492446
73,0.11279691487806875
74,0.21073298416001116
75,0.3025613810219042
76,0.3178613505055408
77,0.25044013715966756
78,0.1342958417332893
79,0.13612321788587778
80,0.2544660354646677
81,0.3257414493339924
82,0.3201426852142034
83,0.24512861099288696
84,0.15106880491686786
85,0.16742960726365969
86,0.26468553699962144
87,0.3300937048188206
88,0.3366958359592941
89,0.2826321549997244
90,0.1800789460263957
91,0.1380586285781664
92,0.25414613483956494
93,0.3695277736832056
94,0.40621173626967816
95,0.338940926641015
96,0.12779502084037717
97,0.045314913525314804
98,0.33660529749396123
99,0.47755481438617087
100,0.4787812818161078
101,0.3201089426528687
102,-0.16719591769937017
103,0.21465667879218064
104,0.47923014222773885
105,0.5444466592692194
106,0.4634117240088148
107,0.16314440158351082
108,-0.08588794875260529
109,0.371061921436801
110,0.5226110577092055
111,0.5322898215798358
112,0.4175288384047888
113,0.10849114790996046
114,0.01629509481815102
115,0.40249321474701477
116,0.5616579928633121
117,0.5864303290043018
118,0.4664355242987185
119,-0.008298716247477356
120,0.17245993329969367
121,0.5610953598122892
122,0.674587764337775
123,0.6307808031095816
124,0.3762595001907511
125,-0.34695435876284125
126,0.48192091051109454
127,0.6688501049792821
128,0.6761355428984506
129,0.5209933281088633
130,-0.02415859849398906
131,0.21904734200551373
132,0.548499079201452
133,0.630757558570556
134,0.5862652570925202
135,0.414829699377228
136,0.11573797925988902
