[hh:mm:ss],dB
02:45:48,22.0
02:45:49,36.0
02:45:50,38.0
02:45:51,36.0
02:45:52,35.0
02:45:53,35.0
02:45:54,38.0
02:45:55,42.0
02:45:56,44.0
02:45:57,63.0
02:45:58,43.0
02:45:59,40.0
02:46:00,39.0
02:46:01,34.0
02:46:02,34.0
02:46:03,34.0
