Frequency (Hz)	Level (dB)
20068.945312	-89.558830
20112.011719	-89.151657
20155.078125	-89.374428
20198.144531	-89.416374
20241.210938	-89.564430
20284.277344	-89.227608
20327.343750	-89.384186
20370.410156	-89.448578
20413.476562	-89.687088
20456.542969	-89.822304
20499.609375	-89.267014
20542.675781	-89.666832
20585.742188	-89.651489
20628.808594	-89.582993
20671.875000	-89.849846
20714.941406	-89.783936
20758.007812	-89.678001
20801.074219	-89.856476
20844.140625	-89.951836
20887.207031	-90.038345
20930.273438	-89.372192
20973.339844	-89.952919
21016.406250	-90.323700
21059.472656	-90.099724
21102.539062	-89.649696
21145.605469	-90.358337
21188.671875	-90.077835
21231.738281	-90.161560
21274.804688	-90.187950
21317.871094	-90.101295
21360.937500	-90.407188
21404.003906	-90.189888
21447.070312	-90.193581
21490.136719	-90.201881
21533.203125	-90.352264
21576.269531	-90.298477
21619.335938	-90.299149
21662.402344	-90.307289
21705.468750	-90.259117
21748.535156	-90.202591
21791.601562	-90.450974
21834.667969	-90.115753
21877.734375	-90.356712
21920.800781	-90.130432
21963.867188	-90.660042
22006.933594	-90.108299
